name,concatenated,topic,region,number,requesting organization,organization_name
Mapping to end FGM: Mwanza East,Mapping to end FGM - Mwanza East (1) MapSwipe,Mapping to end FGM,Mwanza East,1,MapSwipe,
Manitoba Flood Mapping 2,Flood Mapping - Manitora (2) MapSwipe,Flood Mapping,Manitora,2,MapSwipe,
Ayuda Venezuela,Ayuda - Venezuela (1) MapSwipe,Ayuda,Venezuela,1,MapSwipe,
Eliminate Malaria: Angola 6,Eliminate Malaria - Angola (6) MapSwipe,Eliminate Malaria,Angola,6,MapSwipe,
Swipe Chad for MSF 3,Swipe - Chad (3) MSF,Swipe,Chad,3,MSF,
MapSwipe roads in Zimbabwe for MSF 5 #mapuj,MapSwipe roads #mapuj - Zimbabwe (5) MSF,MapSwipe roads #mapuj,Zimbabwe,5,MSF,
Search villages in Chad for MSF,Search villages - Chad (1) MSF,Search villages,Chad,1,MSF,
"Drought in Mara, Kenya (2/2)","Drought - Mara, Kenya (2) MapSwipe",Drought,"Mara, Kenya",2,MapSwipe,
Swipe Sokoto in Nigeria,Swipe Sokoto - Nigeria (1) MapSwipe,Swipe Sokoto,Nigeria,1,MapSwipe,
Measles vaccination 4,"Measles vaccination - Am Timan, Chad (4) MapSwipe",Measles vaccination,"Am Timan, Chad",4,MapSwipe,
Map communities in Ethiopia 2,Map communities - Ethiopia (2) MapSwipe,Map communities,Ethiopia,2,MapSwipe,
Eliminate Malaria: Angola 10,Eliminate Malaria - Angola (10) MapSwipe,Eliminate Malaria,Angola,10,MapSwipe,
End Malaria: Angola 17,End Malaria - Angola (17) MapSwipe,End Malaria,Angola,17,MapSwipe,
Eliminate Malaria: Angola 8,Eliminate Malaria - Angola (8) MapSwipe,Eliminate Malaria,Angola,8,MapSwipe,
Mapping to end FGM in North Monduli,Mapping to end FGM - North Monduli (1) MapSwipe,Mapping to end FGM,North Monduli,1,MapSwipe,
Eliminate Malaria: Angola 9,Eliminate Malaria - Angola (9) MapSwipe,Eliminate Malaria,Angola,9,MapSwipe,
Support demining effort : Chad 2,Support demining effort - Chad (2) MapSwipe,Support demining effort,Chad,2,MapSwipe,
Help MSF in Mali (1),Help - Mali (1) MSF,Help,Mali,1,MSF,
Help MSF in Mali (3),Help - Mali (3) MSF,Help,Mali,3,MSF,
Manitoba Flood Mapping 5,Flood Mapping - Manitoba (5) MapSwipe,Flood Mapping,Manitoba,5,MapSwipe,
Manitoba Flood Mapping 7,Flood Mapping - Manitoba (7) MapSwipe,Flood Mapping,Manitoba,7,MapSwipe,
Colombia RefugeeResponse3,Refugee Response - Colombia (3) MapSwipe,Refugee Response,Colombia,3,MapSwipe,
Eliminate Malaria: Angola 5,Eliminate Malaria - Angola (5) MapSwipe,Eliminate Malaria,Angola,5,MapSwipe,
Map Phillippines 7,Map - Philippines (7) MapSwipe,Map,Philippines,7,MapSwipe,
Support demining effort : Chad 4,Support demining effort - Chad (4) MapSwipe,Support demining effort,Chad,4,MapSwipe,
Manitoba Flood Mapping 8,Flood Mapping - Manitoba (8) MapSwipe,Flood Mapping,Manitoba,8,MapSwipe,
Eliminate Malaria: Angola 11,Eliminate Malaria - Angola (11) MapSwipe,Eliminate Malaria,Angola,11,MapSwipe,
Botswana Malaria Control 6,Malaria Control - Botswana (6) MapSwipe,Malaria Control,Botswana,6,MapSwipe,
Map Sierra Leone for MSF,Map - Sierra Leone (1) MSF,Map,Sierra Leone,1,MSF,
MapSwipe Nigeria for MSF 2,MapSwipe - Nigeria (2) MSF,MapSwipe,Nigeria,2,MSF,
Map Sierra Leone for MSF 3,Map - Sierra Leone (3) MSF,Map,Sierra Leone,3,MSF,
Disease elimination on Bijagos islands 1,Disease elimination - Bijagos islands (1) MapSwipe,Disease elimination,Bijagos islands,1,MapSwipe,
Swipe Chad for MSF 5,Swipe - Chad (5) MSF,Swipe,Chad,5,MSF,
MapSwipe Nigeria for MSF 5,MapSwipe - Nigeria (5) MSF,MapSwipe,Nigeria,5,MSF,
End Malaria: Angola 15,End Malaria - Angola (15) MapSwipe,End Malaria,Angola,15,MapSwipe,
Eliminate Malaria: Angola 13,Eliminate Malaria - Angola (13) MapSwipe,Eliminate Malaria,Angola,13,MapSwipe,
Map communities in Ethiopia 5,Map communities - Ethiopia (5) MapSwipe,Map communities,Ethiopia,5,MapSwipe,
Zambia Solar Mini-Grids,Solar Mini-Grids - Zambia (1) MapSwipe,Solar Mini-Grids,Zambia,1,MapSwipe,
Map communities in Ethiopia 1,Map communities - Ethiopia (1) MapSwipe,Map communities,Ethiopia,1,MapSwipe,
Gaziantep Turkey Refugees,Refugees - Gaziantep Turkey  (1) MapSwipe,Refugees,Gaziantep Turkey ,1,MapSwipe,
Map communities in Ethiopia 4,Map communities - Ethiopia (4) MapSwipe,Map communities,Ethiopia,4,MapSwipe,
Ebola outbreak North Kivu,Ebola outbreak - North Kivu (1) MapSwipe,Ebola outbreak,North Kivu,1,MapSwipe,
Measles vaccination 2,"Measles vaccination - Am Timan, Chad (2) MapSwipe",Measles vaccination,"Am Timan, Chad",2,MapSwipe,
Measles vaccination 3,"Measles vaccination - Am Timan, Chad (3) MapSwipe",Measles vaccination,"Am Timan, Chad",3,MapSwipe,
Sehitkamil Turkey Refugee,Reguree - Sehitkamil Turkey (1) MapSwipe,Reguree,Sehitkamil Turkey,1,MapSwipe,
Map Phillippines 6,Map - Philippines (6) MapSwipe,Map,Philippines,6,MapSwipe,
Swipe Chad for MSF 1,Swipe - Chad (1) MSF,Swipe,Chad,1,MSF,
Colombia RefugeeResponse2,Refugee Response - Colombia (2) MapSwipe,Refugee Response,Colombia,2,MapSwipe,
Manitoba Flood Mapping 4,Flood Mapping - Manitoba (4) MapSwipe,Flood Mapping,Manitoba,4,MapSwipe,
Dengue Fever Honduras,Dengue Fever - Honduras (1) MapSwipe,Dengue Fever,Honduras,1,MapSwipe,
End Malaria: Angola 16,End Malaria - Angola (16) MapSwipe,End Malaria,Angola,16,MapSwipe,
